PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
S. Sumang,10,19.69,3.4,7.9,43%,1.0,3.3,30%,1.3,1.7,76%,3.2,1.1,0.1,0.4,1.8,2.2,1.5,2.3,-6.1,9.1,BWE
C. Lastimosa,8,17.2,3.88,10.0,39%,0.75,3.38,22%,0.5,0.75,67%,2.5,0.63,0.13,0.75,1.25,2.0,2.25,1.25,0.38,9.0,COL
A. Mallari,8,23.69,3.0,9.38,32%,1.13,4.0,28%,1.88,2.25,83%,3.88,0.5,0.25,0.38,3.13,3.5,1.38,1.63,-5.5,9.0,NLX
A. Mallari,8,23.68,3.0,9.38,32%,1.13,4.0,28%,1.88,2.25,83%,3.88,0.5,0.25,0.38,3.13,3.5,1.38,1.63,-5.5,9.0,NLX
R. Celda,11,16.46,3.45,7.82,44%,0.64,2.64,24%,1.36,1.64,83%,2.73,1.18,0.09,0.09,1.27,1.36,1.45,1.45,-7.0,8.91,COL
L. Fonacier,7,27.02,3.0,7.29,41%,1.29,4.0,32%,1.57,1.86,85%,4.0,0.57,0.29,0.43,4.43,4.86,1.14,1.43,-1.57,8.86,NLX
J. Casio,11,23.48,3.27,6.91,47%,1.18,3.09,38%,1.0,1.0,100%,3.36,0.36,0.09,0.45,1.82,2.27,2.0,0.64,1.18,8.73,ALA
G. Khobuntin,10,18.83,3.1,8.2,38%,1.2,3.7,32%,0.8,1.6,50%,1.0,0.0,0.2,0.3,1.4,1.7,1.4,1.6,-3.2,8.2,COL
R. Jazul,11,24.47,2.45,8.45,29%,1.45,5.73,25%,1.55,1.91,81%,2.91,1.09,0.0,0.73,1.82,2.55,3.0,1.27,-1.91,7.91,PHX
A. Semerad,10,16.15,2.6,5.6,46%,1.9,3.9,49%,0.8,0.9,89%,0.4,0.4,0.0,0.2,1.4,1.6,2.5,0.4,3.2,7.9,TNT
J. Yap,11,17.19,2.55,6.82,37%,1.27,3.27,39%,1.45,1.91,76%,1.0,0.45,0.09,0.45,1.09,1.55,0.91,0.82,2.27,7.82,ROS
E. Daquioag,11,19.68,2.91,7.36,40%,0.73,2.73,27%,1.27,2.09,61%,1.0,0.0,0.18,0.27,1.73,2.0,1.36,1.64,-2.09,7.82,ROS
M. Belo,9,24.04,3.0,7.22,42%,0.89,3.0,30%,0.78,1.0,78%,2.22,0.67,0.11,0.33,2.22,2.56,1.89,2.0,-4.78,7.67,BWE
R. dela Rosa,11,24.65,2.73,5.09,54%,1.09,1.91,57%,0.91,1.82,50%,1.18,0.82,0.0,0.73,3.18,3.91,1.91,0.64,0.0,7.45,MAG
K. Nabong,6,27.73,2.67,7.17,37%,0.67,3.33,20%,1.33,2.0,67%,2.5,1.33,0.5,0.5,6.0,6.5,4.33,1.5,-0.33,7.33,GLO
R. de Ocampo,6,21.32,2.33,7.0,33%,1.17,4.17,28%,1.5,2.0,75%,1.5,0.33,0.0,0.17,3.67,3.83,2.0,1.0,3.0,7.33,MER
A. Caram,11,17.1,3.09,5.64,55%,0.27,1.27,21%,0.64,0.73,88%,1.91,0.73,0.18,0.18,0.73,0.91,2.55,0.91,1.09,7.09,MER
D. Trollano,11,17.63,2.45,6.18,40%,0.91,2.91,31%,1.27,1.73,74%,0.73,0.55,0.09,1.09,2.45,3.55,2.09,0.64,3.36,7.09,TNT
R. Tubid,11,15.55,2.55,6.18,41%,1.27,3.45,37%,0.64,0.64,100%,1.09,0.55,0.09,0.45,1.82,2.27,1.64,0.82,-4.91,7.0,COL
J. Pascual,2,7.76,3.0,4.0,75%,0.0,0.5,0%,1.0,3.0,33%,0.5,0.0,0.5,1.5,3.0,4.5,2.0,0.0,5.5,7.0,ALA
J. Grey,11,14.55,2.82,5.55,51%,0.45,1.82,25%,0.91,1.91,48%,1.36,0.45,0.09,0.45,1.0,1.45,1.18,0.82,-0.45,7.0,GLO
P. Taha,2,26.99,3.5,11.0,32%,0.0,0.5,0%,0.0,0.0,0%,1.0,0.0,0.5,3.5,2.5,6.0,2.5,2.0,-2.5,7.0,GLO
B. Belga,11,19.45,2.55,8.64,29%,1.0,3.82,26%,0.82,1.27,64%,2.36,0.18,0.55,0.64,4.55,5.18,3.27,1.91,-1.55,6.91,ROS
S. Mercado,10,20.72,2.8,6.9,41%,0.5,2.1,24%,0.8,1.6,50%,1.8,1.3,0.5,0.6,2.0,2.6,1.9,1.0,8.3,6.9,GIN
K. Williams,6,18.99,2.67,6.33,42%,0.33,1.0,33%,1.17,2.67,44%,1.5,1.0,0.33,0.83,4.83,5.67,0.83,1.5,0.17,6.83,TNT
G. Norwood,11,29.95,2.36,8.27,29%,1.0,4.09,24%,1.09,2.0,55%,4.27,1.0,0.36,1.64,5.09,6.73,1.64,1.36,3.27,6.82,ROS
J. Melton,7,19.25,2.43,5.57,44%,1.71,4.14,41%,0.14,0.29,50%,3.14,0.86,0.0,0.57,2.86,3.43,0.71,1.0,1.14,6.71,MAG
K. Nabong,3,15.63,3.0,5.0,60%,0.67,2.0,33%,0.0,0.33,0%,0.33,0.33,0.33,0.67,1.67,2.33,3.0,0.33,-0.67,6.67,SMB
C. Ross,11,30.24,2.09,7.82,27%,0.36,2.36,15%,1.91,2.45,78%,4.64,1.73,0.09,0.73,3.73,4.45,1.91,2.27,0.27,6.45,SMB
J. Elorde,11,27.51,1.91,6.0,32%,0.82,3.18,26%,1.73,2.45,70%,4.55,1.36,0.09,0.91,2.91,3.82,3.09,2.36,2.91,6.36,GLO
R. Reyes,11,15.2,1.91,3.55,54%,1.73,3.09,56%,0.73,0.82,89%,1.18,1.45,0.09,0.0,1.91,1.91,2.73,0.45,3.09,6.27,TNT
K. Ferrer,11,15.3,2.36,4.82,49%,1.55,3.64,43%,0.0,0.0,0%,1.0,0.73,0.18,0.82,2.0,2.82,1.18,0.64,4.64,6.27,GIN
K. Ferrer,11,15.29,2.36,4.82,49%,1.55,3.64,43%,0.0,0.0,0%,1.0,0.73,0.18,0.82,2.0,2.82,1.18,0.64,4.64,6.27,GIN
R. Al-Hussaini,5,15.68,2.8,6.4,44%,0.0,0.0,0%,0.4,0.6,67%,0.4,0.0,0.0,1.0,1.0,2.0,2.2,1.2,-7.4,6.0,BWE
J. Tiongson,11,19.96,2.18,6.0,36%,0.73,2.82,26%,0.82,0.91,90%,3.73,0.36,0.0,0.36,1.09,1.45,1.45,2.09,-6.55,5.91,NLX
K. Racal,11,19.74,2.09,4.73,44%,1.18,2.45,48%,0.45,0.55,83%,1.55,0.36,0.18,1.0,1.45,2.45,1.45,0.55,0.18,5.82,ALA
C. Hodge,11,27.12,2.18,5.09,43%,0.27,1.0,27%,1.0,2.36,42%,1.91,0.55,0.45,1.45,3.27,4.73,2.64,0.91,8.73,5.64,MER
S. Enciso,11,20.35,2.0,5.45,37%,0.73,3.27,22%,0.64,0.82,78%,3.45,0.36,0.0,0.18,2.0,2.18,0.82,1.64,4.27,5.36,ALA
S. Thoss,11,17.3,2.45,5.55,44%,0.09,0.27,33%,0.18,0.82,22%,1.27,0.0,0.09,0.91,2.64,3.55,2.36,1.18,-1.09,5.18,ALA
W. Wilson,11,23.88,1.91,5.18,37%,0.36,1.73,21%,1.0,1.27,79%,1.0,1.0,0.27,2.27,2.73,5.0,2.0,1.09,1.45,5.18,PHX
A. Ramos,10,13.48,1.6,5.2,31%,1.0,3.4,29%,0.9,1.2,75%,1.0,0.2,0.5,0.5,1.5,2.0,1.6,0.4,-1.6,5.1,MAG
C. Baguio,11,20.33,1.82,4.09,44%,0.73,1.91,38%,0.73,1.09,67%,2.18,0.73,0.45,0.82,1.82,2.64,1.55,1.09,-5.64,5.09,NLX
R. Soyud,11,10.77,1.91,3.73,51%,0.45,1.18,38%,0.82,1.27,64%,0.18,0.0,0.27,0.91,1.55,2.45,1.64,0.36,-3.73,5.09,NLX
G. Espinas,2,14.6,2.5,5.0,50%,0.0,1.0,0%,0.0,0.0,0%,1.5,0.5,1.0,0.5,1.5,2.0,2.5,2.0,8.0,5.0,GLO
R. Banal,3,9.65,1.67,3.33,50%,0.67,1.67,40%,1.0,1.0,100%,1.0,1.33,0.0,0.0,1.33,1.33,1.33,0.33,-4.0,5.0,BWE
R. Brondial,11,11.06,2.09,4.09,51%,0.45,1.36,33%,0.18,0.55,33%,0.18,0.18,0.27,1.45,1.82,3.27,1.73,0.45,4.36,4.82,MAG
J. Teng,7,16.12,1.86,5.71,33%,0.14,0.43,33%,0.86,2.43,35%,1.0,0.43,0.0,2.14,1.86,4.0,1.71,0.43,3.29,4.71,ALA
N. Javelona,8,9.95,1.5,3.25,46%,1.0,2.0,50%,0.63,0.75,83%,1.38,0.25,0.0,0.0,0.75,0.75,1.63,1.0,-1.13,4.63,GLO
N. Pinto,11,16.19,1.82,3.45,53%,0.64,1.09,58%,0.27,0.73,38%,3.0,0.45,0.18,0.36,1.91,2.27,1.45,1.91,-2.27,4.55,BWE
J. Chua,11,12.19,2.09,5.0,42%,0.0,0.0,0%,0.27,0.82,33%,0.27,0.36,0.09,1.73,1.36,3.09,2.73,1.55,-7.36,4.45,PHX
M. Magat,7,8.93,1.71,3.43,50%,0.14,1.43,10%,0.86,1.71,50%,0.14,0.29,0.14,0.71,2.0,2.71,1.71,0.57,2.14,4.43,ALA
A. Taulava,7,7.06,1.43,3.29,43%,1.14,2.57,44%,0.43,0.57,75%,0.71,0.29,0.43,0.86,1.71,2.57,0.86,1.0,-0.71,4.43,NLX
